shape	row_count	members	reads	writes	executes	network_hosts	capabilities_needed	profile_recommendation	description
account-db-normalize	1	shadow	account databases	passwd/group shadow databases and a test account	grpconv; pwconv; useradd	none	root account-database DAC	transitional Cx:archive-lifecycle/account-db-normalize; end state package-owned stable Px	normalize shadow databases and exercise user creation
boot-menu-regenerate	1	intergenos-grub-theme	existing boot menu, boot configuration and installed command availability	existing /boot/efi/EFI/InterGenOS/grub.cfg or /boot/grub/grub.cfg	grub-mkconfig	none	root boot-file DAC	transitional Cx:archive-lifecycle/boot-menu-regenerate; end state package-owned stable Px	regenerate boot menu
dconf-schema	1	intergenos-default-settings	dconf and GLib schema sources	dconf database and gschemas.compiled	dconf; glib-compile-schemas	none	root /etc and schema-directory DAC	transitional Cx:archive-lifecycle/dconf-schema; end state package-owned stable Px	compile default settings databases
desktop-caches-guarded	2	intergen-toggle;intergen-welcome	desktop entries, icon theme and tool availability	mimeinfo.cache and icon-theme.cache	gtk-update-icon-cache; update-desktop-database	none	root application/icon-directory DAC	transitional Cx:archive-lifecycle/desktop-caches-guarded; end state package-owned stable Px	guarded desktop and icon cache refresh
desktop-icon-cache	6	gimp;inkscape;libreoffice;mpv;timeshift;transmission	desktop entries and icons	mimeinfo.cache and icon-theme.cache	update-desktop-database; gtk-update-icon-cache	none	root application/icon-directory DAC	transitional Cx:archive-lifecycle/desktop-icon-cache; end state package-owned stable Px	refresh desktop and icon caches
desktop-icon-mime-cache	1	audacity	desktop entries, icons and MIME XML	mimeinfo.cache; icon-theme.cache; MIME database	update-desktop-database; gtk-update-icon-cache; update-mime-database	none	root application/icon/MIME DAC	transitional Cx:archive-lifecycle/desktop-icon-mime-cache; end state package-owned stable Px	refresh desktop, icon and MIME caches
desktop-schema-icon	2	celluloid;handbrake	schemas, icons and desktop entries	gschemas.compiled; icon-theme.cache; mimeinfo.cache	glib-compile-schemas; gtk-update-icon-cache; update-desktop-database	none	root application/icon/schema DAC	transitional Cx:archive-lifecycle/desktop-schema-icon; end state package-owned stable Px	refresh desktop, icon and schema caches
font-cache	5	font-dejavu;font-inter;font-jetbrains-mono;font-noto-color-emoji;font-noto	installed fonts and fontconfig configuration	fontconfig caches	fc-cache	none	root font-cache DAC	transitional Cx:archive-lifecycle/font-cache; end state package-owned stable Px	refresh font cache
gdk-pixbuf-cache	3	gdk-pixbuf-pass2;gdk-pixbuf;librsvg	GDK Pixbuf loaders	loaders.cache	gdk-pixbuf-query-loaders	none	root loader-cache DAC	transitional Cx:archive-lifecycle/gdk-pixbuf-cache; end state package-owned stable Px	refresh pixbuf loader cache
gio-module-cache	1	glib-networking	GIO modules	giomodule.cache	gio-querymodules	none	root module-cache DAC	transitional Cx:archive-lifecycle/gio-module-cache; end state package-owned stable Px	refresh GIO module cache
gio-schema-cache	2	gvfs-pass2;gvfs	GIO modules and GLib schemas	giomodule.cache and gschemas.compiled	gio-querymodules; glib-compile-schemas	none	root module/schema-cache DAC	transitional Cx:archive-lifecycle/gio-schema-cache; end state package-owned stable Px	refresh GIO and schema caches
glib-schemas	28	accountsservice;appstream;at-spi2-core;colord;dconf;geoclue2;gnome-autoar;gnome-backgrounds;gnome-bluetooth;gnome-desktop;gnome-menus;gnome-online-accounts;gnome-shell-extensions;gnome-terminal;gnome-tweaks;gsettings-desktop-schemas;gtk4;gtksourceview5;ibus;intergenos-extensions-appearance;intergenos-extensions-layout;intergenos-extensions-productivity;intergenos-extensions-utilities;libadwaita1;libcloudproviders;libsecret;user-theme;xdg-desktop-portal-gnome	GLib schema XML/overrides	gschemas.compiled	glib-compile-schemas	none	root schema-directory DAC	transitional Cx:archive-lifecycle/glib-schemas; end state package-owned stable Px	compile GLib schemas
gtk3-module-schema	1	gtk3	GTK input modules and GLib schema sources	GTK immodules cache and gschemas.compiled	gtk-query-immodules-3.0; glib-compile-schemas	none	root cache/schema DAC	transitional Cx:archive-lifecycle/gtk3-module-schema; end state package-owned stable Px	refresh GTK3 modules and schemas
icon-cache	5	adwaita-icon-theme;cybernetic-icon-theme;hicolor-icon-theme;intergenos-icon-theme;papirus-icon-theme	one icon theme	icon-theme.cache	gtk-update-icon-cache	none	root theme-directory DAC	transitional Cx:archive-lifecycle/icon-cache; end state package-owned stable Px	refresh one icon cache
icon-cache-guarded	1	intergen-mark	icon theme and tool availability	icon-theme.cache	gtk-update-icon-cache	none	root theme-directory DAC	transitional Cx:archive-lifecycle/icon-cache-guarded; end state package-owned stable Px	guarded icon cache refresh
icon-cache-multi	3	fluent-icon-theme;tela-icon-theme;whitesur-icon-theme	multiple installed icon themes	each theme's icon-theme.cache	gtk-update-icon-cache	none	root theme-directory DAC	transitional Cx:archive-lifecycle/icon-cache-multi; end state package-owned stable Px	refresh a set of icon themes
intel-microcode-image	1	intel-ucode	Intel firmware tree and tool availability	/boot/intel-ucode.img	iucode_tool; rm	none	root boot-file DAC	transitional Cx:archive-lifecycle/intel-microcode-image; end state package-owned stable Px	regenerate Intel early microcode image
ld-cache	2	libdbusmenu;open-vm-tools	loader configuration and shared libraries	/etc/ld.so.cache	ldconfig	none	root loader-cache DAC	transitional Cx:archive-lifecycle/ld-cache; end state package-owned stable Px	refresh dynamic-loader cache
message-only	1	intergen	none	none	shell builtins only	none	none	transitional Cx:archive-lifecycle/message-only; end state package-owned stable Px	prints an install-time advisory
mime-cache	1	shared-mime-info	MIME package XML	/usr/share/mime generated database	update-mime-database	none	root MIME-directory DAC	transitional Cx:archive-lifecycle/mime-cache; end state package-owned stable Px	refresh MIME database
no-op-aggregate	22	ca-certificates;intergenos-base-files;adw-gtk3-theme;bibata-cursor-theme;catppuccin-gtk-theme;dart-sass;dracula-gtk-theme;fluent-gtk-theme;graphite-gtk-theme;intergen-firstboot;intergen-no-overview;intergen-pkm-notifier;intergenos-launch-monitor;intergenos-settings-arrow;intergenos-theme;macos-cursor-theme;nordic-theme;orchis-theme;phinger-cursors;whitesur-gtk-theme;nvidia;scons	none	none	none	none	none	remove or skip at seal time; no execution profile	22 semantically empty declarations; aggregate disposition only
ownership-chgrp	1	lynx	named package documentation path	group ownership on named path	chgrp	none	CAP_CHOWN	transitional Cx:archive-lifecycle/ownership-chgrp; end state package-owned stable Px	repair one package path group
pkg-apache-httpd	1	apache-httpd	Apache state dirs and AppArmor profile	state/log ownership; running-kernel AppArmor policy	chown; apparmor_parser	none	CAP_CHOWN; CAP_MAC_ADMIN; root state DAC	transitional Cx:archive-lifecycle/pkg-apache-httpd; end state package-owned stable Px	repair Apache state and load profile; printed setup paths are not touched
pkg-at	1	at	/usr/lib/sysusers.d/at.conf; at binaries; optional spool sequence	account databases; at binary ownership/setid modes; /var/spool/at{jobs,spool}	systemd-sysusers; chown; chmod; install	none	CAP_CHOWN; CAP_FOWNER; CAP_FSETID; root DAC	transitional Cx:archive-lifecycle/pkg-at; end state package-owned stable Px	repair at identities, privileged binaries and spool
pkg-cracklib	1	cracklib	/usr/share/dict/words or hostname fallback	cracklib dictionary outputs; temporary word list	create-cracklib-dict; hostname; rm	none	root library/state DAC	transitional Cx:archive-lifecycle/pkg-cracklib; end state package-owned stable Px	generate password dictionary
pkg-docbook-xml	1	docbook-xml	DocBook catalog XML	/usr/share/xml/docbook/xml-dtd-4.5/catalog.xml; /etc/xml/catalog	xmlcatalog	none	root /etc and shared-data DAC	transitional Cx:archive-lifecycle/pkg-docbook-xml; end state package-owned stable Px	register local DocBook catalog rewrites; URL strings are catalog keys, not network
pkg-docbook-xsl-nons	1	docbook-xsl-nons	XSL stylesheet tree and existing XML catalog	/etc/xml/catalog	xmlcatalog	none	root /etc DAC	transitional Cx:archive-lifecycle/pkg-docbook-xsl-nons; end state package-owned stable Px	register local XSL catalog rewrites; URL strings are catalog keys, not network
pkg-exim	1	exim	/usr/lib/sysusers.d/exim.conf; exim binary and spool	account databases; /var/mail; exim spool ownership; setuid/setgid mode	systemd-sysusers; install; chown; chmod	none	CAP_CHOWN; CAP_FOWNER; CAP_FSETID; root DAC	transitional Cx:archive-lifecycle/pkg-exim; end state package-owned stable Px	repair exim identity, state and privileged mode
pkg-fcron	1	fcron	/usr/lib/sysusers.d/fcron.conf; binaries; auth/config files; spool	account databases; binary ownership/setid modes; auth/config ownership; spool	systemd-sysusers; chown; chmod	none	CAP_CHOWN; CAP_FOWNER; CAP_FSETID; root DAC	transitional Cx:archive-lifecycle/pkg-fcron; end state package-owned stable Px	repair fcron identities, privileged binaries and state
pkg-gcc-core	1	gcc-core	compiler, linker, libc and start files	/tmp/dummy.{c,log} and /tmp/a.out then deletes them	cc; readelf; grep; sed; rm	none	temporary-file DAC; compiler execution	transitional Cx:archive-lifecycle/pkg-gcc-core; end state package-owned stable Px	compile/link sanity test
pkg-gdm	1	gdm	GDM sysusers fragment; GLib schemas; desktop entries	account databases; /var/lib/gdm; gschemas.compiled; mimeinfo.cache	systemd-sysusers; install; glib-compile-schemas; update-desktop-database	none	root account/state/cache DAC	transitional Cx:archive-lifecycle/pkg-gdm; end state package-owned stable Px	create GDM identity/state and refresh desktop metadata
pkg-glibc-core	1	glibc-core	locale sources; optional build-only tzdata source; libraries/config	locale archive; build-context zoneinfo; /etc/ld.so.cache; temporary tzdata extraction	localedef; tar; zic; cp; mkdir; ldconfig	none	root locale/shared-data/loader-cache DAC	transitional Cx:archive-lifecycle/pkg-glibc-core; end state package-owned stable Px	generate locales; build-only timezone data; refresh loader cache
pkg-gnome-keyring-capability	1	gnome-keyring	GLib schema XML/overrides; <install-root>/usr/bin/gnome-keyring-daemon; capability-tool availability	gschemas.compiled; security.capability xattr on <install-root>/usr/bin/gnome-keyring-daemon	glib-compile-schemas; /usr/sbin/setcap; /usr/sbin/getcap	none	CAP_SETFCAP; root schema-directory DAC	future package-specific confinement prerequisite: package-owned enforced child for schema refresh and capability restoration; never inherit pkm	refresh GLib schemas and restore the keyring daemon capability
pkg-inetutils-capability	1	inetutils	<install-root>/usr/bin/ping6; capability-tool availability	security.capability xattr on <install-root>/usr/bin/ping6	/usr/sbin/setcap; /usr/sbin/getcap	none	CAP_SETFCAP	future package-specific confinement prerequisite: package-owned enforced child for capability restoration; never inherit pkm	restore and verify the ping6 raw-socket capability
pkg-influxdb	1	influxdb	InfluxDB sysusers fragment, profile, config/state dirs	account databases; state ownership; running-kernel AppArmor policy	systemd-sysusers; chown; apparmor_parser	none	CAP_CHOWN; CAP_MAC_ADMIN; root DAC	transitional Cx:archive-lifecycle/pkg-influxdb; end state package-owned stable Px	create InfluxDB identity/state and load profile
pkg-intergenos-backup	1	intergenos-backup	Chronicle sysusers fragment; unit enablement; desktop/icon inputs	account databases; starts enabled Chronicle units; icon and desktop caches	systemd-sysusers; systemctl is-enabled/start; gtk-update-icon-cache; update-desktop-database	none	root account/cache DAC; system-manager D-Bus	transitional Cx:archive-lifecycle/pkg-intergenos-backup; end state package-owned stable Px	create Chronicle group, honor unit enablement, refresh caches
pkg-lib32-glibc	1	lib32-glibc	32-bit compiler/runtime and loader config	/etc/ld.so.cache; /tmp 32-bit canary then deletes it	ldconfig; gcc -m32; canary executable; rm	none	root loader-cache DAC; execute generated test binary	transitional Cx:archive-lifecycle/pkg-lib32-glibc; end state package-owned stable Px	refresh loader cache and run 32-bit canary
